Table 1
Category,OED Code,AIR code,Name,Description,Code Range,Broad Category,,,,
Construction,5101,112,"Masonry, Adobe","Adobe construction uses adobe (clay) blocks with cement or cement-clay mixture as mortar. The roof consists of a timber frame with clay tiles or, in some cases, metal roofing.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5101, 'Masonry, Adobe', 'Adobe construction uses adobe (clay) blocks with cement or cement-clay mixture as mortar. The roof consists of a timber frame with clay tiles or, in some cases, metal roofing.', '5100 - 5149', 'Masonry', '112')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5101, 'Masonry, Adobe', 'Adobe construction uses adobe (clay) blocks with cement or cement-clay mixture as mortar. The roof consists of a timber frame with clay tiles or, in some cases, metal roofing.', '5100 - 5149', 'Masonry')",,
Construction,5102,113,"Masonry, Rubble stone masonry","Rubble stone masonry consists of low-rise perimeter load bearing walls composed of irregular stones laid as coursed or uncoursed rubble in a cement mortar bed, with floor and roof joists constructed with wood framing.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5102, 'Masonry, Rubble stone masonry', 'Rubble stone masonry consists of low-rise perimeter load bearing walls composed of irregular stones laid as coursed or uncoursed rubble in a cement mortar bed, with floor and roof joists constructed with wood framing.', '5100 - 5149', 'Masonry', '113')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5102, 'Masonry, Rubble stone masonry', 'Rubble stone masonry consists of low-rise perimeter load bearing walls composed of irregular stones laid as coursed or uncoursed rubble in a cement mortar bed, with floor and roof joists constructed with wood framing.', '5100 - 5149', 'Masonry')",,
Construction,5103,114,"Masonry, Unreinforced masonry bearing wall","Unreinforced masonry buildings consist of structures in which there is no steel reinforcing within a load bearing masonry wall. Floors, roofs, and internal partitions in these bearing wall buildings are usually of wood.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5103, 'Masonry, Unreinforced masonry bearing wall', 'Unreinforced masonry buildings consist of structures in which there is no steel reinforcing within a load bearing masonry wall. Floors, roofs, and internal partitions in these bearing wall buildings are usually of wood.', '5100 - 5149', 'Masonry', '114')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5103, 'Masonry, Unreinforced masonry bearing wall', 'Unreinforced masonry buildings consist of structures in which there is no steel reinforcing within a load bearing masonry wall. Floors, roofs, and internal partitions in these bearing wall buildings are usually of wood.', '5100 - 5149', 'Masonry')",,
Construction,5104,115,"Masonry, Unreinforced masonry bearing frame","Unreinforced masonry is used for infill walls of buildings with a bearing frame. In this structure type, the masonry is intended to be used not to support gravity loads, but to assist with lateral loads.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5104, 'Masonry, Unreinforced masonry bearing frame', 'Unreinforced masonry is used for infill walls of buildings with a bearing frame. In this structure type, the masonry is intended to be used not to support gravity loads, but to assist with lateral loads.', '5100 - 5149', 'Masonry', '115')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5104, 'Masonry, Unreinforced masonry bearing frame', 'Unreinforced masonry is used for infill walls of buildings with a bearing frame. In this structure type, the masonry is intended to be used not to support gravity loads, but to assist with lateral loads.', '5100 - 5149', 'Masonry')",,
Construction,5105,116,"Masonry, Reinforced masonry",Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Floor and roof joists constructed with wood framing are common.,5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5105, 'Masonry, Reinforced masonry', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Floor and roof joists constructed with wood framing are common.', '5100 - 5149', 'Masonry', '116')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5105, 'Masonry, Reinforced masonry', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Floor and roof joists constructed with wood framing are common.', '5100 - 5149', 'Masonry')",,
Construction,5106,117,"Masonry, Reinforced masonry shear wall with mrf","Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Reinforced masonry buildings with ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5106, 'Masonry, Reinforced masonry shear wall with mrf', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Reinforced masonry buildings with ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.', '5100 - 5149', 'Masonry', '117')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5106, 'Masonry, Reinforced masonry shear wall with mrf', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. Reinforced masonry buildings with ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.', '5100 - 5149', 'Masonry')",,
Construction,5107,118,"Masonry, Reinforced masonry shear wall w/o mrf","Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5107, 'Masonry, Reinforced masonry shear wall w/o mrf', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.', '5100 - 5149', 'Masonry', '118')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5107, 'Masonry, Reinforced masonry shear wall w/o mrf', 'Reinforced masonry construction consists of load bearing walls of reinforced brick or concrete-block masonry. ""Shear Walls"" are continuous reinforced brick or reinforced hollow concrete block walls extending from the foundation to the roof and can be exterior walls or interior walls.', '5100 - 5149', 'Masonry')",,
Construction,5108,119,"Masonry, Joisted masonry",Masonry exterior walls with roof of combustible materials on non-combustible supports.,5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5108, 'Masonry, Joisted masonry', 'Masonry exterior walls with roof of combustible materials on non-combustible supports.', '5100 - 5149', 'Masonry', '119')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5108, 'Masonry, Joisted masonry', 'Masonry exterior walls with roof of combustible materials on non-combustible supports.', '5100 - 5149', 'Masonry')",,
Construction,5109,120,"Masonry, Confined Masonry","Confined masonry is a construction system in which plain masonry walls are confined on all four sides by reinforced concrete or reinforced masonry members. The walls themselves, however, carry all of the gravity and lateral loads.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5109, 'Masonry, Confined Masonry', 'Confined masonry is a construction system in which plain masonry walls are confined on all four sides by reinforced concrete or reinforced masonry members. The walls themselves, however, carry all of the gravity and lateral loads.', '5100 - 5149', 'Masonry', '120')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5109, 'Masonry, Confined Masonry', 'Confined masonry is a construction system in which plain masonry walls are confined on all four sides by reinforced concrete or reinforced masonry members. The walls themselves, however, carry all of the gravity and lateral loads.', '5100 - 5149', 'Masonry')",,
Construction,5110,121,"Masonry, Cavity Double Brick","An unreinforced masonry construction type composed of two layers of bricks, common in many cities in Australia.",5100 - 5149,Masonry,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5110, 'Masonry, Cavity Double Brick', 'An unreinforced masonry construction type composed of two layers of bricks, common in many cities in Australia.', '5100 - 5149', 'Masonry', '121')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5110, 'Masonry, Cavity Double Brick', 'An unreinforced masonry construction type composed of two layers of bricks, common in many cities in Australia.', '5100 - 5149', 'Masonry')",,
Construction,5150,131,"Concrete, Reinforced concrete",Reinforced concrete buildings consist of reinforced concrete columns and beams. Use this if the other technical characteristics of the building are unknown.,5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5150, 'Concrete, Reinforced concrete', 'Reinforced concrete buildings consist of reinforced concrete columns and beams. Use this if the other technical characteristics of the building are unknown.', '5150 - 5199', 'Concrete', '131')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5150, 'Concrete, Reinforced concrete', 'Reinforced concrete buildings consist of reinforced concrete columns and beams. Use this if the other technical characteristics of the building are unknown.', '5150 - 5199', 'Concrete')",,
Construction,5151,132,"Concrete, Reinforced concrete shear wall w/ mrf","Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced concrete extending from the foundation to the roof and can be exterior walls or interior walls.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5151, 'Concrete, Reinforced concrete shear wall w/ mrf', 'Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced concrete extending from the foundation to the roof and can be exterior walls or interior walls.', '5150 - 5199', 'Concrete', '132')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5151, 'Concrete, Reinforced concrete shear wall w/ mrf', 'Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. ""Moment Resisting Frames"" carry lateral loads by bending. ""Shear Walls"" are continuous reinforced concrete extending from the foundation to the roof and can be exterior walls or interior walls.', '5150 - 5199', 'Concrete')",,
Construction,5152,133,"Concrete, Reinforced concrete shear wall w/o mrf","Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. Reinforced concrete Shear Walls are continuous reinforced concrete, extending from the foundation to the roof and can be exterior walls or interior walls. This category typically consists of buildings with a concrete box structural system with shear walls. The entire structure, along with the usual concrete diaphragm, is typically cast in place.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5152, 'Concrete, Reinforced concrete shear wall w/o mrf', 'Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. Reinforced concrete Shear Walls are continuous reinforced concrete, extending from the foundation to the roof and can be exterior walls or interior walls. This category typically consists of buildings with a concrete box structural system with shear walls. The entire structure, along with the usual concrete diaphragm, is typically cast in place.', '5150 - 5199', 'Concrete', '133')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5152, 'Concrete, Reinforced concrete shear wall w/o mrf', 'Building constructed with reinforced concrete columns and beams, as well as reinforced concrete floor and roof. Reinforced concrete Shear Walls are continuous reinforced concrete, extending from the foundation to the roof and can be exterior walls or interior walls. This category typically consists of buildings with a concrete box structural system with shear walls. The entire structure, along with the usual concrete diaphragm, is typically cast in place.', '5150 - 5199', 'Concrete')",,
Construction,5153,134,"Concrete, Reinforced concrete mrf ductile","Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. This kind of structural system can sustain large deformations and absorb energy without brittle failure.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5153, 'Concrete, Reinforced concrete mrf ductile', 'Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. This kind of structural system can sustain large deformations and absorb energy without brittle failure.', '5150 - 5199', 'Concrete', '134')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5153, 'Concrete, Reinforced concrete mrf ductile', 'Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. This kind of structural system can sustain large deformations and absorb energy without brittle failure.', '5150 - 5199', 'Concrete')",,
Construction,5154,135,"Concrete, Reinforced concrete mrf non-ductile","Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. These structures have insufficient reinforcing steel embedded in the concrete and thus display low ductility.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5154, 'Concrete, Reinforced concrete mrf non-ductile', 'Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. These structures have insufficient reinforcing steel embedded in the concrete and thus display low ductility.', '5150 - 5199', 'Concrete', '135')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5154, 'Concrete, Reinforced concrete mrf non-ductile', 'Buildings constructed with reinforced concrete columns, beams, and slabs. Moment Resisting Frames carry lateral loads due to earthquakes by bending. These structures have insufficient reinforcing steel embedded in the concrete and thus display low ductility.', '5150 - 5199', 'Concrete')",,
Construction,5155,136,"Concrete, Tilt-up","Tilt-up buildings are constructed with reinforced concrete wall panels that are cast on the ground and then tilted upward into their final positions. These wall units are then anchored to the foundation and attached to each other. The roof and floor decks are typically wood. More recently, the wall panels are fabricated off-site and trucked in. These buildings tend to be one or two stories in height.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5155, 'Concrete, Tilt-up', 'Tilt-up buildings are constructed with reinforced concrete wall panels that are cast on the ground and then tilted upward into their final positions. These wall units are then anchored to the foundation and attached to each other. The roof and floor decks are typically wood. More recently, the wall panels are fabricated off-site and trucked in. These buildings tend to be one or two stories in height.', '5150 - 5199', 'Concrete', '136')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5155, 'Concrete, Tilt-up', 'Tilt-up buildings are constructed with reinforced concrete wall panels that are cast on the ground and then tilted upward into their final positions. These wall units are then anchored to the foundation and attached to each other. The roof and floor decks are typically wood. More recently, the wall panels are fabricated off-site and trucked in. These buildings tend to be one or two stories in height.', '5150 - 5199', 'Concrete')",,
Construction,5156,137,"Concrete, Pre-cast concrete","The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5156, 'Concrete, Pre-cast concrete', 'The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site.', '5150 - 5199', 'Concrete', '137')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5156, 'Concrete, Pre-cast concrete', 'The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site.', '5150 - 5199', 'Concrete')",,
Construction,5157,138,"Concrete, Pre-cast concrete w/ shear wall","The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site. Lateral loads due to earthquakes are carried by cast-in-place concrete ""shear"" walls.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5157, 'Concrete, Pre-cast concrete w/ shear wall', 'The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site. Lateral loads due to earthquakes are carried by cast-in-place concrete ""shear"" walls.', '5150 - 5199', 'Concrete', '138')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5157, 'Concrete, Pre-cast concrete w/ shear wall', 'The pre-cast frame is essentially a post and beam system in concrete in which columns, beams, and slabs are prefabricated and assembled on site. Lateral loads due to earthquakes are carried by cast-in-place concrete ""shear"" walls.', '5150 - 5199', 'Concrete')",,
Construction,5158,139,"Concrete, Reinforced concrete mrf","A building constructed with reinforced concrete columns, beams, and slabs. ""Moment-resisting frames"" carry lateral loads due to earthquakes by bending. Information on the reinforcing steels is not sufficient to determine the building level of ductility.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5158, 'Concrete, Reinforced concrete mrf', 'A building constructed with reinforced concrete columns, beams, and slabs. ""Moment-resisting frames"" carry lateral loads due to earthquakes by bending. Information on the reinforcing steels is not sufficient to determine the building level of ductility.', '5150 - 5199', 'Concrete', '139')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5158, 'Concrete, Reinforced concrete mrf', 'A building constructed with reinforced concrete columns, beams, and slabs. ""Moment-resisting frames"" carry lateral loads due to earthquakes by bending. Information on the reinforcing steels is not sufficient to determine the building level of ductility.', '5150 - 5199', 'Concrete')",,
Construction,5159,140,"Concrete, Reinforced concrete mrf with URM","Reinforced concrete columns and beams form ""moment-resisting frames"" to carry lateral loads due to earthquakes. Unreinforced masonry walls are used as infills between the columns to add lateral load resistance, but are not intended to serve as gravity load-bearing elements.",5150 - 5199,Concrete,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5159, 'Concrete, Reinforced concrete mrf with URM', 'Reinforced concrete columns and beams form ""moment-resisting frames"" to carry lateral loads due to earthquakes. Unreinforced masonry walls are used as infills between the columns to add lateral load resistance, but are not intended to serve as gravity load-bearing elements.', '5150 - 5199', 'Concrete', '140')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5159, 'Concrete, Reinforced concrete mrf with URM', 'Reinforced concrete columns and beams form ""moment-resisting frames"" to carry lateral loads due to earthquakes. Unreinforced masonry walls are used as infills between the columns to add lateral load resistance, but are not intended to serve as gravity load-bearing elements.', '5150 - 5199', 'Concrete')",,
Construction,5200,151,"Steel, Steel",Steel frame buildings consist of steel columns and beams. Use this if the other technical characteristics of the building are unknown.,5200 - 5249,Steel,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5200, 'Steel, Steel', 'Steel frame buildings consist of steel columns and beams. Use this if the other technical characteristics of the building are unknown.', '5200 - 5249', 'Steel', '151')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5200, 'Steel, Steel', 'Steel frame buildings consist of steel columns and beams. Use this if the other technical characteristics of the building are unknown.', '5200 - 5249', 'Steel')",,
Construction,5201,152,"Steel, Light metal","Light metal buildings are made of light gauge steel frame and are usually clad with lightweight metal or asbestos siding and roof, often corrugated. They typically are low-rise structures.",5200 - 5249,Steel,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5201, 'Steel, Light metal', 'Light metal buildings are made of light gauge steel frame and are usually clad with lightweight metal or asbestos siding and roof, often corrugated. They typically are low-rise structures.', '5200 - 5249', 'Steel', '152')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5201, 'Steel, Light metal', 'Light metal buildings are made of light gauge steel frame and are usually clad with lightweight metal or asbestos siding and roof, often corrugated. They typically are low-rise structures.', '5200 - 5249', 'Steel')",,
